time_seconds,type,message
0.391,"telemetry","packetCounter: 38850 | sampleTimeFine: 10475698 | Roll: -179.53° Pitch: 0.95° Yaw: -179.88° | Acc: (-0.14, -0.09, -9.82) m/s² | Gyro: (-0.72, -0.51, -0.00) deg/s"
0.401,"vibration","📊 ВИБРАЦИЯ: X=0.0091 Y=0.0073 Z=0.3443 | TOTAL=0.3445 m/s²"
0.401,"bar","   ███░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.401,"telemetry","packetCounter: 38851 | sampleTimeFine: 10475798 | Roll: -179.54° Pitch: 0.95° Yaw: -179.88° | Acc: (-0.15, -0.11, -9.81) m/s² | Gyro: (-0.14, -0.29, -0.63) deg/s"
0.411,"vibration","📊 ВИБРАЦИЯ: X=0.0091 Y=0.0071 Z=0.3443 | TOTAL=0.3445 m/s²"
0.411,"bar","   ███░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.411,"telemetry","packetCounter: 38852 | sampleTimeFine: 10475898 | Roll: -179.54° Pitch: 0.95° Yaw: -179.87° | Acc: (-0.15, -0.11, -9.80) m/s² | Gyro: (-0.30, -0.31, -0.11) deg/s"
0.421,"vibration","📊 ВИБРАЦИЯ: X=0.0089 Y=0.0071 Z=0.3443 | TOTAL=0.3445 m/s²"
0.421,"bar","   ███░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.421,"telemetry","packetCounter: 38853 | sampleTimeFine: 10475998 | Roll: -179.54° Pitch: 0.96° Yaw: -179.87° | Acc: (-0.15, -0.11, -9.83) m/s² | Gyro: (-0.02, -0.48, -0.12) deg/s"
0.431,"vibration","📊 ВИБРАЦИЯ: X=0.0088 Y=0.0071 Z=0.3444 | TOTAL=0.3445 m/s²"
0.431,"bar","   ███░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.431,"telemetry","packetCounter: 38854 | sampleTimeFine: 10476098 | Roll: -179.55° Pitch: 0.96° Yaw: -179.87° | Acc: (-0.15, -0.10, -9.82) m/s² | Gyro: (-0.71, -0.51, 0.23) deg/s"
0.441,"vibration","📊 ВИБРАЦИЯ: X=0.0088 Y=0.0072 Z=0.3444 | TOTAL=0.3445 m/s²"
0.441,"bar","   ███░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.441,"telemetry","packetCounter: 38855 | sampleTimeFine: 10476198 | Roll: -179.54° Pitch: 0.97° Yaw: -179.87° | Acc: (-0.14, -0.11, -9.81) m/s² | Gyro: (0.11, -0.53, -0.13) deg/s"
0.450,"vibration","📊 ВИБРАЦИЯ: X=0.0087 Y=0.0071 Z=0.3444 | TOTAL=0.3445 m/s²"
0.450,"bar","   ███░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.451,"telemetry","packetCounter: 38856 | sampleTimeFine: 10476298 | Roll: -179.55° Pitch: 0.97° Yaw: -179.87° | Acc: (-0.15, -0.10, -9.81) m/s² | Gyro: (0.04, 0.03, -0.13) deg/s"
0.461,"vibration","📊 ВИБРАЦИЯ: X=0.0087 Y=0.0073 Z=0.3444 | TOTAL=0.3445 m/s²"
0.461,"bar","   ███░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.461,"telemetry","packetCounter: 38857 | sampleTimeFine: 10476398 | Roll: -179.55° Pitch: 0.97° Yaw: -179.87° | Acc: (-0.16, -0.12, -9.81) m/s² | Gyro: (-0.27, -0.62, -0.08) deg/s"
0.471,"vibration","📊 ВИБРАЦИЯ: X=0.0087 Y=0.0072 Z=0.3444 | TOTAL=0.3445 m/s²"
0.471,"bar","   ███░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.471,"telemetry","packetCounter: 38858 | sampleTimeFine: 10476498 | Roll: -179.55° Pitch: 0.97° Yaw: -179.87° | Acc: (-0.16, -0.10, -9.81) m/s² | Gyro: (-0.42, -0.11, -0.59) deg/s"
0.481,"vibration","📊 ВИБРАЦИЯ: X=0.0086 Y=0.0071 Z=0.3444 | TOTAL=0.3445 m/s²"
0.481,"bar","   ███░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.481,"telemetry","packetCounter: 38859 | sampleTimeFine: 10476598 | Roll: -179.55° Pitch: 0.98° Yaw: -179.86° | Acc: (-0.16, -0.11, -9.81) m/s² | Gyro: (-0.45, -0.49, -0.41) deg/s"
0.491,"vibration","📊 ВИБРАЦИЯ: X=0.0086 Y=0.0069 Z=0.3444 | TOTAL=0.3445 m/s²"
0.491,"bar","   ███░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
