elapsed_s,prediction,confidence,p_deformed
35.208,0,0.5395,0.4605
35.308,0,0.5395,0.4605
35.408,0,0.5395,0.4605
35.508,0,0.4693,0.5307
35.608,0,0.5395,0.4605
35.708,0,0.5395,0.4605
35.808,0,0.5395,0.4605
35.908,0,0.5395,0.4605
36.008,0,0.5395,0.4605
36.108,0,0.5395,0.4605
36.208,0,0.5395,0.4605
36.308,0,0.7921,0.2079
36.408,0,0.7921,0.2079
36.508,0,0.7924,0.2076
36.607,0,0.7924,0.2076
36.707,0,0.7921,0.2079
36.808,0,0.5395,0.4605
36.908,0,0.5395,0.4605
37.008,0,0.5395,0.4605
37.108,0,0.5395,0.4605
37.208,0,0.5240,0.4760
37.308,0,0.5240,0.4760
37.408,0,0.5240,0.4760
37.507,0,0.5395,0.4605
37.608,0,0.5395,0.4605
37.707,0,0.5395,0.4605
37.808,0,0.5395,0.4605
37.908,0,0.5395,0.4605
38.008,0,0.4693,0.5307
38.108,0,0.4693,0.5307
38.208,0,0.4693,0.5307
38.308,0,0.4693,0.5307
38.408,0,0.4693,0.5307
38.508,0,0.4693,0.5307
38.608,0,0.4693,0.5307
38.708,0,0.4693,0.5307
38.808,0,0.4693,0.5307
38.908,0,0.4693,0.5307
39.008,0,0.5395,0.4605
39.108,0,0.4693,0.5307
39.208,0,0.4693,0.5307
39.308,0,0.5395,0.4605
39.408,0,0.5395,0.4605
39.508,0,0.7924,0.2076
39.608,0,0.7924,0.2076
39.708,0,0.7924,0.2076
39.808,0,0.4693,0.5307
39.907,0,0.4693,0.5307
40.008,0,0.4693,0.5307
40.108,0,0.4693,0.5307
40.208,0,0.5395,0.4605
40.308,0,0.4693,0.5307
40.408,0,0.7921,0.2079
40.508,0,0.7921,0.2079
40.608,0,0.7921,0.2079
40.708,0,0.7921,0.2079
40.808,0,0.7921,0.2079
40.908,1,1.0000,1.0000
41.008,1,1.0000,1.0000
41.108,0,0.7921,0.2079
41.208,0,0.7921,0.2079
41.308,0,0.7921,0.2079
41.408,0,0.7921,0.2079
41.507,0,0.7921,0.2079
41.608,0,0.8786,0.1214
41.708,0,0.8786,0.1214
41.808,0,0.8786,0.1214
41.908,0,0.8786,0.1214
42.008,1,0.9180,0.9180
42.108,1,0.9180,0.9180
42.208,1,0.9180,0.9180
42.308,1,0.9180,0.9180
42.408,0,0.8956,0.1044
42.507,0,0.8956,0.1044
42.607,0,0.8956,0.1044
42.706,0,0.8956,0.1044
42.808,0,0.8956,0.1044
42.908,0,0.8956,0.1044
43.008,0,0.8956,0.1044
43.108,0,0.8956,0.1044
43.208,0,0.8956,0.1044
43.308,0,0.8956,0.1044
